task,phase,epoch,train_loss,train_accuracy,epoch_seconds
xor_quadrant,1,1,0.5752,66.25,0.591
xor_quadrant,1,2,0.15044,95.96,0.369
xor_quadrant,1,3,0.06897,97.52,0.373
xor_quadrant,1,4,0.06169,97.6,0.361
xor_quadrant,1,5,0.0477,98.05,0.357
vertical,2,1,0.24838,93.3,0.397
vertical,2,2,0.02428,99.34,0.357
vertical,2,3,0.0145,99.53,0.36
vertical,2,4,0.01589,99.41,0.36
vertical,2,5,0.00828,99.73,0.364
horizontal,3,1,0.82234,75.13,0.448
horizontal,3,2,0.03884,98.77,0.484
horizontal,3,3,0.05475,97.61,0.482
horizontal,3,4,0.03065,98.89,0.453
horizontal,3,5,0.01894,99.32,0.436
diagonal,4,1,0.26586,92.69,0.421
diagonal,4,2,0.04693,99.13,0.426
diagonal,4,3,0.03946,98.9,0.43
diagonal,4,4,0.08224,97.37,0.41
diagonal,4,5,0.02496,99.2,0.502
circle,5,1,0.8591,70.56,0.438
circle,5,2,0.49081,75.66,0.423
circle,5,3,0.43927,77.28,0.408
circle,5,4,0.23174,92.17,0.377
circle,5,5,0.1005,96.88,0.459
