,after_t1,after_t2,after_t3,after_t4,after_t5
xor_quadrant,97.65,49.15,51.0,51.65,49.95
vertical,,98.65,49.9,74.95,50.35
horizontal,,,99.9,75.05,44.15
diagonal,,,,98.75,46.55
circle,,,,,95.35
