task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.69794,54.58,1.525
horizontal,1,2,0.65159,69.99,1.342
horizontal,1,3,0.58676,78.0,1.232
horizontal,1,4,0.48481,84.62,1.257
horizontal,1,5,0.34209,90.79,1.312
vertical,2,1,0.73736,57.81,1.321
vertical,2,2,0.62426,61.93,1.389
vertical,2,3,0.52643,69.48,1.318
vertical,2,4,0.42163,79.95,1.355
vertical,2,5,0.30772,88.86,1.374
circle,3,1,0.94562,51.21,1.452
circle,3,2,0.7221,55.69,1.351
circle,3,3,0.62847,64.29,1.373
circle,3,4,0.58152,73.12,1.342
circle,3,5,0.55823,76.2,1.344
diagonal,4,1,0.58311,69.06,1.364
diagonal,4,2,0.4532,90.26,1.486
diagonal,4,3,0.35051,92.17,1.555
diagonal,4,4,0.25803,94.7,1.947
diagonal,4,5,0.18621,97.38,1.424
xor_quadrant,5,1,1.10319,59.78,1.433
xor_quadrant,5,2,0.80201,67.34,1.742
xor_quadrant,5,3,0.68736,68.1,2.157
xor_quadrant,5,4,0.64022,68.37,2.242
xor_quadrant,5,5,0.61458,69.2,2.052
