,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,93.0,58.6,46.95,75.8,74.15
vertical,,92.5,48.45,75.3,75.05
circle,,,75.85,49.8,57.45
diagonal,,,,98.95,79.9
xor_quadrant,,,,,71.0
