task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,18.85,-30.2
vertical,51.0,17.45,-33.55
circle,48.75,18.4,-30.35
diagonal,50.65,19.05,-31.6
xor_quadrant,0.0,0.0,0.0
