task,initial_accuracy,best_accuracy,final_accuracy,forgetting
diagonal,98.9,98.9,51.0,47.9
horizontal,99.7,99.7,50.85,48.85
vertical,99.5,99.5,51.35,48.15
xor_quadrant,99.1,99.1,50.1,49.0
circle,98.0,98.0,98.0,0.0
