,after_t1,after_t2,after_t3,after_t4,after_t5
diagonal,98.9,74.55,74.85,48.5,51.0
horizontal,,99.7,49.4,49.85,50.85
vertical,,,99.5,48.85,51.35
xor_quadrant,,,,99.1,50.1
circle,,,,,98.0
