,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,97.0,87.45,50.85,80.95,48.95
xor_quadrant,,54.3,50.5,51.4,49.0
circle,,,75.5,57.3,50.9
diagonal,,,,90.1,74.4
vertical,,,,,99.15
