task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,48.05,-1.0
xor_quadrant,51.0,5.3,-45.7
circle,48.75,24.6,-24.15
diagonal,50.65,15.7,-34.95
vertical,0.0,0.0,0.0
