,after_t1,after_t2,after_t3,after_t4,after_t5
xor_quadrant,60.55,52.75,49.5,66.0,51.4
diagonal,,94.05,74.3,76.4,76.2
vertical,,,99.6,75.2,50.3
circle,,,,58.1,48.9
horizontal,,,,,99.6
