task,forgetting_phase1,forgetting_phase2,delta
xor_quadrant,49.05,14.6,-34.45
diagonal,51.0,17.85,-33.15
vertical,48.75,49.3,0.55
circle,50.65,9.2,-41.45
horizontal,0.0,0.0,0.0
