task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,27.25,-21.8
vertical,51.0,16.6,-34.4
circle,48.75,22.25,-26.5
diagonal,50.65,18.3,-32.35
xor_quadrant,0.0,0.0,0.0
