,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.1,59.65,50.3,75.35,71.85
vertical,,91.2,49.15,75.5,74.6
circle,,,77.15,51.8,54.9
diagonal,,,,98.3,80.0
xor_quadrant,,,,,65.4
