task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.16843,94.71,0.681
horizontal,1,2,0.02715,99.23,0.356
horizontal,1,3,0.04085,98.59,0.378
horizontal,1,4,0.02568,99.25,0.367
horizontal,1,5,0.02031,99.25,0.364
vertical,2,1,0.54594,85.43,0.364
vertical,2,2,0.04869,98.29,0.365
vertical,2,3,0.021,99.5,0.36
vertical,2,4,0.03032,99.07,0.352
vertical,2,5,0.01969,99.37,0.364
circle,3,1,0.77062,71.72,0.388
circle,3,2,0.21161,92.63,0.37
circle,3,3,0.09931,96.89,0.387
circle,3,4,0.06048,97.89,0.375
circle,3,5,0.06092,97.66,0.375
diagonal,4,1,0.26595,91.08,0.378
diagonal,4,2,0.05168,98.16,0.372
diagonal,4,3,0.04921,97.97,0.365
diagonal,4,4,0.03971,98.4,0.393
diagonal,4,5,0.04161,98.47,0.406
xor_quadrant,5,1,0.878,67.91,0.425
xor_quadrant,5,2,0.50606,72.81,0.403
xor_quadrant,5,3,0.30451,86.05,0.396
xor_quadrant,5,4,0.0559,98.19,0.392
xor_quadrant,5,5,0.05086,98.07,0.403
