task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.18189,94.51,0.637
horizontal,1,2,0.02627,99.3,0.381
horizontal,1,3,0.01838,99.43,0.36
horizontal,1,4,0.02157,99.32,0.35
horizontal,1,5,0.00966,99.72,0.348
vertical,2,1,0.67422,81.87,0.34
vertical,2,2,0.03937,98.87,0.345
vertical,2,3,0.03743,98.76,0.352
vertical,2,4,0.02986,98.95,0.352
vertical,2,5,0.02159,99.23,0.35
circle,3,1,0.73299,76.29,0.347
circle,3,2,0.12337,96.79,0.342
circle,3,3,0.07641,97.09,0.343
circle,3,4,0.06787,97.45,0.361
circle,3,5,0.04243,98.55,0.37
diagonal,4,1,0.30323,92.51,0.367
diagonal,4,2,0.04106,98.78,0.365
diagonal,4,3,0.03843,98.69,0.356
diagonal,4,4,0.03633,98.86,0.361
diagonal,4,5,0.02653,99.2,0.368
xor_quadrant,5,1,0.84047,63.21,0.359
xor_quadrant,5,2,0.41752,78.74,0.357
xor_quadrant,5,3,0.10621,95.97,0.362
xor_quadrant,5,4,0.07433,97.23,0.396
xor_quadrant,5,5,0.05741,97.98,0.384
