,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,98.95,98.95,98.95,98.95,98.95
vertical,,99.8,99.8,99.8,99.8
circle,,,96.05,96.05,96.05
diagonal,,,,97.6,97.6
xor_quadrant,,,,,98.25
