,after_t1,after_t2,after_t3,after_t4,after_t5
xor_quadrant,59.25,49.75,49.4,61.35,49.95
diagonal,,96.35,76.0,60.35,76.65
vertical,,,98.85,61.3,51.6
circle,,,,64.65,51.85
horizontal,,,,,96.9
