task,forgetting_phase1,forgetting_phase2,delta
xor_quadrant,49.05,11.4,-37.65
diagonal,51.0,19.7,-31.3
vertical,48.75,47.25,-1.5
circle,50.65,12.8,-37.85
horizontal,0.0,0.0,0.0
