task,phase,epoch,train_loss,train_accuracy,epoch_seconds
xor_quadrant,1,1,0.69242,53.73,1.678
xor_quadrant,1,2,0.69116,54.94,1.477
xor_quadrant,1,3,0.68894,49.38,1.44
xor_quadrant,1,4,0.68517,53.49,1.476
xor_quadrant,1,5,0.67901,57.03,1.518
diagonal,2,1,0.58855,93.85,1.628
diagonal,2,2,0.52869,95.35,1.633
diagonal,2,3,0.46485,96.21,1.59
diagonal,2,4,0.3993,96.55,1.6
diagonal,2,5,0.33482,96.73,1.655
vertical,3,1,0.44909,77.07,1.46
vertical,3,2,0.35366,86.6,1.711
vertical,3,3,0.2728,91.95,1.897
vertical,3,4,0.20168,95.72,2.431
vertical,3,5,0.14644,98.03,1.88
circle,4,1,1.24508,49.53,1.872
circle,4,2,1.04074,49.29,1.601
circle,4,3,0.85837,49.88,1.78
circle,4,4,0.71276,51.7,1.522
circle,4,5,0.61048,58.12,1.646
horizontal,5,1,0.70005,68.34,1.626
horizontal,5,2,0.56035,74.93,1.515
horizontal,5,3,0.45867,86.94,1.536
horizontal,5,4,0.36815,93.56,1.466
horizontal,5,5,0.29573,96.51,1.571
