task,phase,epoch,train_loss,train_accuracy,epoch_seconds
circle,1,1,0.80355,24.71,1.781
circle,1,2,0.69217,52.79,1.373
circle,1,3,0.60068,76.1,1.387
circle,1,4,0.55905,76.1,1.604
circle,1,5,0.55118,76.1,1.714
vertical,2,1,0.82086,50.33,1.473
vertical,2,2,0.74447,50.33,1.392
vertical,2,3,0.69047,50.33,1.69
vertical,2,4,0.64123,67.82,1.509
vertical,2,5,0.58005,91.14,1.48
diagonal,3,1,0.54395,82.97,1.607
diagonal,3,2,0.4812,88.49,1.543
diagonal,3,3,0.41409,92.82,1.543
diagonal,3,4,0.34697,96.55,1.592
diagonal,3,5,0.28444,98.37,1.58
horizontal,4,1,0.43327,79.57,1.613
horizontal,4,2,0.32553,87.1,1.435
horizontal,4,3,0.23562,92.14,1.871
horizontal,4,4,0.16517,95.82,2.189
horizontal,4,5,0.11502,98.39,1.596
xor_quadrant,5,1,1.32754,50.99,1.929
xor_quadrant,5,2,1.11597,53.12,1.646
xor_quadrant,5,3,0.93777,56.53,1.445
xor_quadrant,5,4,0.81704,61.15,1.563
xor_quadrant,5,5,0.7342,64.22,1.613
