task,forgetting_phase1,forgetting_phase2,delta
circle,49.05,20.4,-28.65
vertical,51.0,30.15,-20.85
diagonal,48.75,18.8,-29.95
horizontal,50.65,18.45,-32.2
xor_quadrant,0.0,0.0,0.0
