,after_t1,after_t2,after_t3,after_t4,after_t5
circle,74.9,48.15,48.3,50.25,54.5
vertical,,94.65,74.8,49.85,64.5
diagonal,,,98.65,75.7,79.85
horizontal,,,,99.35,80.9
xor_quadrant,,,,,65.2
