,after_t1,after_t2,after_t3,after_t4,after_t5
xor_quadrant,63.0,52.55,49.4,50.0,50.85
diagonal,,95.55,74.6,50.1,75.55
vertical,,,99.5,48.9,49.65
circle,,,,77.4,49.15
horizontal,,,,,99.35
