task,forgetting_phase1,forgetting_phase2,delta
xor_quadrant,49.05,12.15,-36.9
diagonal,51.0,20.0,-31.0
vertical,48.75,49.85,1.1
circle,50.65,28.25,-22.4
horizontal,0.0,0.0,0.0
