,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.55,50.9,50.85,75.65,50.45
vertical,,99.75,51.2,75.2,49.1
circle,,,97.2,49.6,50.6
diagonal,,,,97.8,49.2
xor_quadrant,,,,,99.3
