,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.15,49.2,51.7,74.9,65.4
vertical,,99.4,47.7,74.3,63.8
circle,,,89.7,48.9,51.9
diagonal,,,,99.65,64.25
xor_quadrant,,,,,81.9
