,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,95.0,56.75,50.6,75.1,71.8
vertical,,91.8,51.65,74.15,73.25
circle,,,75.85,50.35,58.05
diagonal,,,,99.35,77.25
xor_quadrant,,,,,68.45
