task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.69513,54.54,1.509
horizontal,1,2,0.64672,75.52,1.177
horizontal,1,3,0.58114,80.84,1.081
horizontal,1,4,0.46205,87.24,1.144
horizontal,1,5,0.29332,92.84,1.171
vertical,2,1,0.83533,55.59,1.153
vertical,2,2,0.68827,58.09,1.275
vertical,2,3,0.57461,63.21,1.4
vertical,2,4,0.46803,75.45,1.318
vertical,2,5,0.34799,88.63,1.239
circle,3,1,0.82159,54.4,1.244
circle,3,2,0.63785,59.46,1.279
circle,3,3,0.57075,70.8,1.225
circle,3,4,0.53826,76.39,1.203
circle,3,5,0.52355,76.4,1.34
diagonal,4,1,0.52898,74.84,1.37
diagonal,4,2,0.36659,89.82,1.34
diagonal,4,3,0.26028,92.92,1.258
diagonal,4,4,0.18604,95.94,1.282
diagonal,4,5,0.13486,98.48,1.366
xor_quadrant,5,1,1.3618,59.26,1.457
xor_quadrant,5,2,0.91789,66.44,1.34
xor_quadrant,5,3,0.7222,66.64,1.328
xor_quadrant,5,4,0.64807,66.84,1.31
xor_quadrant,5,5,0.61633,67.84,1.357
