task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,23.2,-25.85
vertical,51.0,18.55,-32.45
circle,48.75,17.8,-30.95
diagonal,50.65,22.1,-28.55
xor_quadrant,0.0,0.0,0.0
