,after_t1,after_t2,after_t3,after_t4,after_t5
xor_quadrant,64.0,50.3,48.6,47.7,68.55
vertical,,97.95,58.65,73.65,70.0
horizontal,,,90.65,75.75,69.3
diagonal,,,,98.4,69.45
circle,,,,,57.45
