task,forgetting_phase1,forgetting_phase2,delta
xor_quadrant,49.05,0.0,-49.05
vertical,51.0,27.95,-23.05
horizontal,48.75,21.35,-27.4
diagonal,50.65,28.95,-21.7
circle,0.0,0.0,0.0
