,after_t1,after_t2,after_t3,after_t4,after_t5
xor_quadrant,60.55,48.85,59.8,52.3,69.55
vertical,,98.55,70.7,74.7,68.45
horizontal,,,78.9,75.2,71.55
diagonal,,,,97.4,70.85
circle,,,,,59.15
