task,forgetting_phase1,forgetting_phase2,delta
xor_quadrant,49.05,0.0,-49.05
vertical,51.0,30.1,-20.9
horizontal,48.75,7.35,-41.4
diagonal,50.65,26.55,-24.1
circle,0.0,0.0,0.0
