phase,batch,mask_mean,mask_std,mask_min,mask_max,frac_lt_0.1,frac_gt_0.9,hmem_mean,hmem_std,hmem_min,hmem_max,corr_hmem_mask,corr_hmem_dw
1,0,0.020295511931180954,0.010840012691915035,0.0158789474517107,0.4560026228427887,0.9980868697166443,0.0,1.0,2.3763372898101807,8.748661517454792e-11,98.15763854980469,0.795194149017334,0.7939407229423523
1,78,0.0318184420466423,0.013248550705611706,8.50216529215686e-05,0.41024819016456604,0.998144805431366,0.0,1.0,2.3841936588287354,2.360173612103722e-09,125.72965240478516,0.6585602760314941,0.5379489660263062
1,0,0.019907910376787186,0.009445645846426487,5.3237745305523276e-05,0.3175200819969177,0.998144805431366,0.0,1.0,2.3615219593048096,0.0,108.26643371582031,0.6826815605163574,0.4537411332130432
1,78,0.018864648416638374,0.008197405375540257,8.468375744996592e-05,0.23589842021465302,0.9982028007507324,0.0,1.0,1.8568416833877563,3.72731534525883e-09,62.343109130859375,0.6212674379348755,0.09490945935249329
1,0,0.01860467530786991,0.008574695326387882,5.138798223924823e-05,0.272647500038147,0.9982028007507324,0.0,1.0,2.337069034576416,6.209493363940055e-09,120.17108917236328,0.636062502861023,-0.06043475866317749
1,78,0.02018219232559204,0.009164677001535892,5.725399751099758e-05,0.28458911180496216,0.9982028007507324,0.0,1.0,2.2026524543762207,5.7073403780805165e-09,113.11216735839844,0.6049542427062988,-0.005272286478430033
1,0,0.020802021026611328,0.009482874535024166,5.414273982751183e-05,0.2938069999217987,0.9982028007507324,0.0,1.0,2.1072423458099365,5.618091547532345e-10,75.60259246826172,0.6506891250610352,-0.14675548672676086
1,78,0.021002475172281265,0.009628518484532833,5.6161126849474385e-05,0.30039289593696594,0.9982028007507324,0.0,1.0,2.063002347946167,4.2136327760289305e-10,98.2920150756836,0.602120578289032,0.08426499366760254
1,0,0.01869175396859646,0.008306358940899372,7.363205077126622e-05,0.24570107460021973,0.9982028007507324,0.0,1.0,1.7894566059112549,6.491907011962894e-09,69.60596466064453,0.5689720511436462,0.2690514028072357
1,78,0.01858697645366192,0.008182010613381863,5.6962693633977324e-05,0.24849668145179749,0.9982028007507324,0.0,1.0,1.6827293634414673,5.224377375157019e-09,62.11129379272461,0.4957672357559204,0.21830275654792786
2,0,0.014608742669224739,0.009172377176582813,0.0005458673695102334,0.3543669879436493,0.9984347224235535,0.0,1.0,1.6276012659072876,1.8492625208921254e-09,44.727291107177734,0.16384847462177277,-0.2221502810716629
2,78,0.015390257351100445,0.009587489999830723,0.0004922072403132915,0.36576151847839355,0.9984347224235535,0.0,1.0,1.8436897993087769,0.0,84.93390655517578,0.23535549640655518,0.02513252943754196
2,0,0.014145107008516788,0.00856700073927641,0.0005145177128724754,0.33780163526535034,0.9986085891723633,0.0,1.0,1.6339253187179565,4.3644501901418664e-10,53.687835693359375,0.1325817108154297,-0.014022312127053738
2,78,0.018001042306423187,0.010400955565273762,0.0007351905223913491,0.3928220570087433,0.9985506534576416,0.0,1.0,1.5730056762695312,0.0,35.940914154052734,0.097610704600811,-0.09200064092874527
2,0,0.013179763220250607,0.007990158163011074,0.0004315811092965305,0.3288663923740387,0.9986665844917297,0.0,1.0,1.7213780879974365,1.2278482230954069e-08,60.81983947753906,0.08733684569597244,-0.10764246433973312
2,78,0.01702127605676651,0.009762897156178951,0.00061164575163275,0.33205580711364746,0.9985506534576416,0.0,1.0,1.6344863176345825,1.7209446312449472e-08,56.66583251953125,0.14123298227787018,-0.08238581568002701
2,0,0.014756442047655582,0.008608721196651459,0.0005093339132145047,0.31978756189346313,0.9986665844917297,0.0,1.0,1.705124020576477,4.337339021276421e-08,59.69036865234375,0.1239248663187027,-0.11184170842170715
2,78,0.01705045998096466,0.009623276069760323,0.0006244149408303201,0.3192230463027954,0.9986085891723633,0.0,1.0,1.7887455224990845,4.0684767554921564e-08,61.63852310180664,0.12020234763622284,-0.15398342907428741
2,0,0.01581350527703762,0.009124379605054855,0.0005817059427499771,0.3015141785144806,0.9986665844917297,0.0,1.0000001192092896,1.7780979871749878,2.1365517355320662e-08,64.94629669189453,0.20009614527225494,-0.09167978167533875
2,78,0.020189523696899414,0.010701541788876057,0.0008037381921894848,0.3351728320121765,0.9986085891723633,0.0,1.0,1.8294909000396729,5.156783000614951e-09,29.83936309814453,-0.06485168635845184,-0.2432282418012619
3,0,0.013099403120577335,0.009036068804562092,0.0006744010024704039,0.33378732204437256,0.9982028007507324,0.0,1.0,1.95691978931427,1.2701475426979414e-08,73.46869659423828,0.31153368949890137,-0.19738104939460754
3,78,0.01545077096670866,0.009692724794149399,0.0007502896478399634,0.4192374646663666,0.998376727104187,0.0,1.0,1.7312284708023071,9.164731196165121e-09,52.706016540527344,0.13408470153808594,0.06540216505527496
3,0,0.01190159935504198,0.007506108842790127,0.0006460370495915413,0.3106832802295685,0.9985506534576416,0.0,1.0000001192092896,1.744465708732605,2.136480992120937e-09,60.43014907836914,0.18273019790649414,0.0916527658700943
