,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.65,47.25,51.55,73.6,48.75
vertical,,99.8,50.7,73.65,47.2
circle,,,96.95,52.1,53.65
diagonal,,,,98.25,48.5
xor_quadrant,,,,,98.65
