task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,35.3,-13.75
xor_quadrant,51.0,0.0,-51.0
diagonal,48.75,28.4,-20.35
vertical,50.65,30.95,-19.7
circle,0.0,0.0,0.0
