task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.65338,69.03,1.782
horizontal,1,2,0.40108,90.66,1.281
horizontal,1,3,0.11454,98.45,1.275
horizontal,1,4,0.04799,99.28,1.226
horizontal,1,5,0.02998,99.44,1.175
vertical,2,1,1.03977,62.56,1.055
vertical,2,2,0.26726,92.75,1.063
vertical,2,3,0.10043,98.73,1.167
vertical,2,4,0.05068,99.57,1.125
vertical,2,5,0.03473,99.47,1.17
circle,3,1,1.04703,58.75,1.202
circle,3,2,0.4833,76.4,1.112
circle,3,3,0.45129,76.4,1.045
circle,3,4,0.40822,76.55,1.002
circle,3,5,0.34686,84.25,1.113
diagonal,4,1,0.36242,83.76,1.163
diagonal,4,2,0.10175,98.08,1.097
diagonal,4,3,0.05723,99.17,1.067
diagonal,4,4,0.03986,99.39,1.002
diagonal,4,5,0.03541,98.92,0.953
xor_quadrant,5,1,1.16209,64.9,0.911
xor_quadrant,5,2,0.59759,67.83,0.882
xor_quadrant,5,3,0.5291,69.42,0.879
xor_quadrant,5,4,0.40511,87.21,0.869
xor_quadrant,5,5,0.25988,93.15,0.862
