,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.5,49.5,53.35,74.75,50.8
vertical,,99.75,43.1,74.5,52.65
circle,,,86.3,49.8,45.25
diagonal,,,,99.3,51.55
xor_quadrant,,,,,93.95
