task,initial_accuracy,best_accuracy,final_accuracy,forgetting
horizontal,99.5,99.5,50.8,48.7
vertical,99.75,99.75,52.65,47.1
circle,86.3,86.3,45.25,41.05
diagonal,99.3,99.3,51.55,47.75
xor_quadrant,93.95,93.95,93.95,0.0
