task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,48.7,-0.35
vertical,51.0,47.1,-3.9
circle,48.75,41.05,-7.7
diagonal,50.65,47.75,-2.9
xor_quadrant,0.0,0.0,0.0
