,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,94.8,84.3,50.85,81.85,48.7
xor_quadrant,,56.75,50.5,51.3,48.75
circle,,,75.5,57.0,51.15
diagonal,,,,89.5,74.15
vertical,,,,,98.9
