,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,94.8,61.85,50.85,77.65,72.55
vertical,,87.45,50.45,71.65,75.35
circle,,,75.5,54.0,57.4
diagonal,,,,94.8,79.9
xor_quadrant,,,,,66.7
