task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.66468,67.98,1.591
horizontal,1,2,0.62978,77.3,1.557
horizontal,1,3,0.57443,84.03,1.449
horizontal,1,4,0.49206,88.65,1.54
horizontal,1,5,0.38424,92.36,1.473
vertical,2,1,0.68612,57.04,1.571
vertical,2,2,0.62501,59.82,1.547
vertical,2,3,0.55991,65.47,1.632
vertical,2,4,0.48933,74.58,1.826
vertical,2,5,0.41798,83.99,2.059
circle,3,1,0.81281,52.98,1.927
circle,3,2,0.69425,56.03,1.338
circle,3,3,0.62403,62.76,1.596
circle,3,4,0.58239,73.22,1.478
circle,3,5,0.55849,76.56,1.587
diagonal,4,1,0.61343,57.07,1.781
diagonal,4,2,0.48159,84.25,1.878
diagonal,4,3,0.39173,91.93,1.774
diagonal,4,4,0.32182,94.01,1.753
diagonal,4,5,0.26809,95.12,1.621
xor_quadrant,5,1,0.93647,60.49,1.577
xor_quadrant,5,2,0.80887,66.82,1.451
xor_quadrant,5,3,0.72689,67.44,1.612
xor_quadrant,5,4,0.67678,66.94,1.429
xor_quadrant,5,5,0.64798,66.77,1.523
