task,initial_accuracy,best_accuracy,final_accuracy,forgetting
horizontal,94.8,94.8,72.55,22.25
vertical,87.45,87.45,75.35,12.1
circle,75.5,75.5,57.4,18.1
diagonal,94.8,94.8,79.9,14.9
xor_quadrant,66.7,66.7,66.7,0.0
