task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,22.25,-26.8
vertical,51.0,12.1,-38.9
circle,48.75,18.1,-30.65
diagonal,50.65,14.9,-35.75
xor_quadrant,0.0,0.0,0.0
