task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,27.25,-21.8
vertical,51.0,19.45,-31.55
circle,48.75,17.05,-31.7
diagonal,50.65,22.35,-28.3
xor_quadrant,0.0,0.0,0.0
