,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.05,56.45,49.05,75.45,71.8
vertical,,93.0,50.3,74.0,73.55
circle,,,76.85,52.45,59.8
diagonal,,,,98.35,76.0
xor_quadrant,,,,,70.0
