task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.71453,48.55,1.698
horizontal,1,2,0.64569,83.05,1.85
horizontal,1,3,0.56049,87.96,1.829
horizontal,1,4,0.42678,92.68,1.553
horizontal,1,5,0.26072,97.33,1.417
vertical,2,1,0.95686,52.48,1.609
vertical,2,2,0.72102,57.92,1.577
vertical,2,3,0.54952,67.88,1.341
vertical,2,4,0.41417,81.17,1.354
vertical,2,5,0.28932,90.86,1.344
circle,3,1,0.89282,51.51,1.369
circle,3,2,0.71055,54.05,1.457
circle,3,3,0.62298,60.63,1.401
circle,3,4,0.57492,71.13,1.403
circle,3,5,0.54769,76.18,1.325
diagonal,4,1,0.53652,70.96,1.596
diagonal,4,2,0.38599,90.47,1.449
diagonal,4,3,0.28915,92.25,1.404
diagonal,4,4,0.21406,95.08,1.326
diagonal,4,5,0.15458,97.38,1.284
xor_quadrant,5,1,1.14077,59.72,1.299
xor_quadrant,5,2,0.80023,67.5,1.484
xor_quadrant,5,3,0.66618,68.28,1.581
xor_quadrant,5,4,0.61574,69.16,1.448
xor_quadrant,5,5,0.59319,69.6,1.303
