task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,33.75,-15.3
vertical,51.0,35.6,-15.4
circle,48.75,37.8,-10.95
diagonal,50.65,35.4,-15.25
xor_quadrant,0.0,0.0,0.0
