,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,88.05,58.35,50.75,73.15,72.65
vertical,,90.7,51.8,76.0,76.6
circle,,,75.7,53.0,60.1
diagonal,,,,96.7,86.6
xor_quadrant,,,,,63.3
