task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,15.4,-33.65
vertical,51.0,14.1,-36.9
circle,48.75,15.6,-33.15
diagonal,50.65,10.1,-40.55
xor_quadrant,0.0,0.0,0.0
