task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,25.35,-23.7
vertical,51.0,22.75,-28.25
circle,48.75,16.2,-32.55
diagonal,50.65,23.6,-27.05
xor_quadrant,0.0,0.0,0.0
