,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,98.55,54.75,53.4,75.4,73.2
vertical,,94.45,52.3,73.8,71.7
circle,,,72.6,50.1,56.4
diagonal,,,,98.95,75.35
xor_quadrant,,,,,69.2
