task,forgetting_phase1,forgetting_phase2,delta
circle,49.05,25.45,-23.6
vertical,51.0,45.8,-5.2
xor_quadrant,48.75,1.75,-47.0
diagonal,50.65,20.85,-29.8
horizontal,0.0,0.0,0.0
