,after_t1,after_t2,after_t3,after_t4,after_t5
circle,75.5,51.35,59.7,54.7,50.05
vertical,,95.3,88.95,73.05,49.5
xor_quadrant,,,51.0,51.3,49.55
diagonal,,,,95.4,74.55
horizontal,,,,,99.9
