task,phase,epoch,train_loss,train_accuracy,epoch_seconds
circle,1,1,0.65764,68.2,1.806
circle,1,2,0.5975,76.56,1.604
circle,1,3,0.56007,76.56,1.597
circle,1,4,0.54974,76.56,1.672
circle,1,5,0.54739,76.56,1.559
vertical,2,1,0.79547,49.77,1.473
vertical,2,2,0.71862,49.77,1.501
vertical,2,3,0.66221,51.49,1.49
vertical,2,4,0.61377,80.82,1.542
vertical,2,5,0.55854,93.9,1.512
xor_quadrant,3,1,0.70278,51.93,1.415
xor_quadrant,3,2,0.69241,49.44,1.465
xor_quadrant,3,3,0.68493,49.52,1.598
xor_quadrant,3,4,0.67652,50.03,1.537
xor_quadrant,3,5,0.66546,51.86,1.496
diagonal,4,1,0.57354,84.73,1.457
diagonal,4,2,0.50357,90.69,1.465
diagonal,4,3,0.43113,92.85,1.437
diagonal,4,4,0.36033,94.37,1.461
diagonal,4,5,0.29614,95.23,1.49
horizontal,5,1,0.38056,82.51,1.468
horizontal,5,2,0.26678,90.75,1.484
horizontal,5,3,0.18562,95.32,1.529
horizontal,5,4,0.12639,97.9,1.552
horizontal,5,5,0.08774,99.29,1.498
