task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,47.1,-1.95
vertical,51.0,48.85,-2.15
circle,48.75,46.15,-2.6
diagonal,50.65,48.15,-2.5
xor_quadrant,0.0,0.0,0.0
