,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.15,49.2,53.1,75.0,52.05
vertical,,99.6,50.5,74.2,50.75
circle,,,96.3,49.3,50.15
diagonal,,,,99.05,50.9
xor_quadrant,,,,,97.15
