task,initial_accuracy,best_accuracy,final_accuracy,forgetting
horizontal,99.65,99.65,48.75,50.9
vertical,99.8,99.8,47.2,52.6
circle,96.95,96.95,53.65,43.3
diagonal,98.25,98.25,48.5,49.75
xor_quadrant,98.65,98.65,98.65,0.0
