,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,97.4,49.1,49.1,75.5,47.3
vertical,,99.35,50.85,73.75,50.55
circle,,,96.65,50.65,51.15
diagonal,,,,99.0,47.5
xor_quadrant,,,,,97.4
