,after_t1,after_t2,after_t3,after_t4,after_t5
diagonal,98.9,75.0,48.5,74.0,51.05
vertical,,99.25,48.25,48.95,51.1
xor_quadrant,,,97.9,49.0,50.65
horizontal,,,,98.55,50.6
circle,,,,,97.75
