,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,98.8,80.55,75.1,50.25,50.8
xor_quadrant,,66.35,51.5,49.15,50.0
diagonal,,,97.3,74.35,50.1
vertical,,,,99.75,48.9
circle,,,,,77.4
