task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,48.0,-1.05
xor_quadrant,51.0,16.35,-34.65
diagonal,48.75,47.2,-1.55
vertical,50.65,50.85,0.2
circle,0.0,0.0,0.0
