step,gov_loss,loss_new,loss_old,sparse_cost,ewc_cost,delta_cost,mask_mean,mask_std,mask_min,mask_max,frac_lt_0.1,frac_gt_0.9
1,0.9498276710510254,0.7152931690216064,0.5485281944274902,0.03842488303780556,0.7866470217704773,0.0015374773647636175,0.4959,0.0032,0.4866,0.5053,0.0,0.0
50,1.1580876111984253,1.39029860496521,0.3634645640850067,0.004380836617201567,0.4446446895599365,0.001556420000270009,0.3664,0.0194,0.2778,0.4384,0.0,0.0
100,1.1350069046020508,0.7622277736663818,0.6592254638671875,0.000749800936318934,0.3826392590999603,0.000685854465700686,0.3273,0.0529,0.1225,0.5474,0.0,0.0
150,0.9666906595230103,0.608711302280426,0.0,0.006461695302277803,0.0,0.0008536408422514796,0.3832,0.0971,0.2952,0.9198,0.0,0.0077
200,1.039035439491272,0.6234867572784424,0.0,0.002926362445577979,0.0,0.0006125312647782266,0.3559,0.1849,0.1878,0.9978,0.0,0.0192
